Temperature (Whole Degress Farenheit),Item Name,Number Sold
36,Latte,2
37,Drip Coffee,5
38,"Cappuccino, Unknown",2
39,"Cappuccino, Unknown",2
40,Drip Coffee,3
41,Drip Coffee,3
42,Drip Coffee,6
43,Latte,8
44,"Cappuccino, Unknown",8
45,Drip Coffee,9
46,Drip Coffee,18
47,Latte,15
48,Drip Coffee,18
49,Drip Coffee,25
50,"Cappuccino, Unknown",23
51,Latte,40
52,Drip Coffee,27
53,"Cappuccino, Unknown",41
54,Latte,73
55,Drip Coffee,68
56,Latte,88
57,Latte,106
58,Latte,121
59,Latte,116
60,Drip Coffee,117
61,Drip Coffee,100
62,New Orleans Iced Coffee (cup),93
63,New Orleans Iced Coffee (cup),99
64,Latte,92
65,New Orleans Iced Coffee (cup),80
66,New Orleans Iced Coffee (cup),88
67,New Orleans Iced Coffee (cup),82
68,New Orleans Iced Coffee (cup),94
69,New Orleans Iced Coffee (cup),72
70,New Orleans Iced Coffee (cup),69
71,New Orleans Iced Coffee (cup),57
72,New Orleans Iced Coffee (cup),50
73,New Orleans Iced Coffee (cup),55
74,New Orleans Iced Coffee (cup),46
75,New Orleans Iced Coffee (cup),31
76,New Orleans Iced Coffee (cup),39
77,New Orleans Iced Coffee (cup),22
78,New Orleans Iced Coffee (cup),32
79,New Orleans Iced Coffee (cup),26
80,New Orleans Iced Coffee (cup),14
81,New Orleans Iced Coffee (cup),18
82,New Orleans Iced Coffee (cup),20
83,New Orleans Iced Coffee (cup),8
84,New Orleans Iced Coffee (cup),10
85,New Orleans Iced Coffee (cup),16
86,New Orleans Iced Coffee (cup),10
87,"Cappuccino, Unknown",3
88,New Orleans Iced Coffee (cup),7
89,New Orleans Iced Coffee (cup),4
90,"Cappuccino, Unknown",6
91,New Orleans Iced Coffee (cup),5
92,NOLA Carton,6
93,S.O. Iced Coffee,1
94,Apple Juice,1
95,New Orleans Iced Coffee (cup),2
