Item Name,Average Change in Sales when Colder,Average Change in Sales when Warmer
Americano,0.0,0.14285714285714285
Apple Juice,0.2857142857142857,-0.2
"Au Lait, Unknown",0.0,1.0
"Cappuccino, Unknown",0.0,0.07142857142857142
Cascara Fizz,0.0,0.42857142857142855
Chemex Coffee,0.058823529411764705,0.0
Drip Coffee,0.0,0.05263157894736842
Espresso,-0.05555555555555555,0.0
Gibraltar,0.16666666666666666,0.058823529411764705
Hot Chocolate,0.125,0.1
Latte,0.0625,-0.08
Macchiato,-0.125,0.0
Mocha,0.07692307692307693,0.0
NOLA Carton,0.25,0.6666666666666666
New Orleans Iced Coffee (cup),0.07142857142857142,-0.047619047619047616
S.O. Iced - 4 oz Oji,0.14285714285714285,0.0
S.O. Iced Coffee,0.0,-0.25
Shakerato,0.0,1.0
Sparkling Water,0.0,0.0
Still Water,0.0,0.0
Tea,0.0,0.0
